sim_id	gene	source_model_path
yjpgshqqch	ENSG00000133639.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000133639.4/ENSG00000133639.4.k20.pi01.gss
stjuqyeidz	ENSG00000171916.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000171916.16/ENSG00000171916.16.k20.pi01.gss
pnminuhxri	ENSG00000166762.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000166762.16/ENSG00000166762.16.k20.pi01.gss
vzzvjbhyox	ENSG00000148331.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000148331.11/ENSG00000148331.11.k20.pi01.gss
gwlwpyxnvp	ENSG00000213471.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000213471.9/ENSG00000213471.9.k20.pi01.gss
vcsfiewdqc	ENSG00000115421.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000115421.12/ENSG00000115421.12.k20.pi01.gss
upzndccbjo	ENSG00000176971.3	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000176971.3/ENSG00000176971.3.k20.pi01.gss
xllfdxnjlc	ENSG00000142252.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000142252.10/ENSG00000142252.10.k20.pi01.gss
jjnxmzlqpe	ENSG00000153214.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000153214.9/ENSG00000153214.9.k20.pi01.gss
gdpykwygak	ENSG00000040608.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000040608.13/ENSG00000040608.13.k20.pi01.gss
pojwwaiebh	ENSG00000224383.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000224383.7/ENSG00000224383.7.k20.pi01.gss
slywaqhsfr	ENSG00000145916.18	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000145916.18/ENSG00000145916.18.k20.pi01.gss
ikwuiarsoz	ENSG00000106125.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000106125.14/ENSG00000106125.14.k20.pi01.gss
eajtollbmf	ENSG00000152669.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000152669.8/ENSG00000152669.8.k20.pi01.gss
kgdkvwwlmh	ENSG00000159184.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000159184.7/ENSG00000159184.7.k20.pi01.gss
uthhcquknj	ENSG00000138892.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000138892.11/ENSG00000138892.11.k20.pi01.gss
inkeudhqzi	ENSG00000152670.18	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000152670.18/ENSG00000152670.18.k20.pi01.gss
cuevxzbotm	ENSG00000174527.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000174527.9/ENSG00000174527.9.k20.pi01.gss
pvhspspryl	ENSG00000120071.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000120071.13/ENSG00000120071.13.k20.pi01.gss
nqokbnmbam	ENSG00000143398.19	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000143398.19/ENSG00000143398.19.k20.pi01.gss
sronlynuzb	ENSG00000163053.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000163053.10/ENSG00000163053.10.k20.pi01.gss
bmrmhmmfhw	ENSG00000107874.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000107874.10/ENSG00000107874.10.k20.pi01.gss
pthgortdav	ENSG00000186184.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr13/ENSG00000186184.16/ENSG00000186184.16.k20.pi01.gss
foqqkpabjn	ENSG00000204616.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000204616.10/ENSG00000204616.10.k20.pi01.gss
itwsicgkdk	ENSG00000053702.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000053702.14/ENSG00000053702.14.k20.pi01.gss
utwgdewvkg	ENSG00000187783.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000187783.11/ENSG00000187783.11.k20.pi01.gss
gvwsambhzu	ENSG00000283268.1	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000283268.1/ENSG00000283268.1.k20.pi01.gss
bvumjpkymn	ENSG00000116213.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000116213.15/ENSG00000116213.15.k20.pi01.gss
nknckboyfv	ENSG00000129244.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000129244.8/ENSG00000129244.8.k20.pi01.gss
aejjhuxmhl	ENSG00000075131.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000075131.9/ENSG00000075131.9.k20.pi01.gss
ipdaudehpc	ENSG00000206190.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000206190.11/ENSG00000206190.11.k20.pi01.gss
cchmbupcmc	ENSG00000206181.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr18/ENSG00000206181.5/ENSG00000206181.5.k20.pi01.gss
dkqybzmahb	ENSG00000241697.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000241697.4/ENSG00000241697.4.k20.pi01.gss
qlrpjfmwen	ENSG00000278828.1	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000278828.1/ENSG00000278828.1.k20.pi01.gss
wcxgkfjzxj	ENSG00000196993.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr16/ENSG00000196993.8/ENSG00000196993.8.k20.pi01.gss
fgnwqkdeup	ENSG00000101158.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr20/ENSG00000101158.13/ENSG00000101158.13.k20.pi01.gss
kmdqdcfwec	ENSG00000164818.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000164818.15/ENSG00000164818.15.k20.pi01.gss
knmewzfotk	ENSG00000141458.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr18/ENSG00000141458.12/ENSG00000141458.12.k20.pi01.gss
nufsiyvffr	ENSG00000138764.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000138764.14/ENSG00000138764.14.k20.pi01.gss
miqyyujlwn	ENSG00000186204.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000186204.14/ENSG00000186204.14.k20.pi01.gss
fnwijqepbb	ENSG00000213463.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000213463.4/ENSG00000213463.4.k20.pi01.gss
pkzalpjshw	ENSG00000262246.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr16/ENSG00000262246.5/ENSG00000262246.5.k20.pi01.gss
uktzzkckzv	ENSG00000118246.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000118246.13/ENSG00000118246.13.k20.pi01.gss
gunvnuemab	ENSG00000142303.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000142303.13/ENSG00000142303.13.k20.pi01.gss
pdcjueldim	ENSG00000214300.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000214300.7/ENSG00000214300.7.k20.pi01.gss
rhoiguxzis	ENSG00000108691.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000108691.9/ENSG00000108691.9.k20.pi01.gss
igsybrbwhv	ENSG00000117862.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000117862.11/ENSG00000117862.11.k20.pi01.gss
dgpuvkaadq	ENSG00000180398.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000180398.11/ENSG00000180398.11.k20.pi01.gss
snxvoxgblc	ENSG00000085231.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000085231.13/ENSG00000085231.13.k20.pi01.gss
qpzuegesrs	ENSG00000106615.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000106615.9/ENSG00000106615.9.k20.pi01.gss
jouwhwdbgg	ENSG00000146592.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000146592.16/ENSG00000146592.16.k20.pi01.gss
rifmbtxyxc	ENSG00000126522.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000126522.16/ENSG00000126522.16.k20.pi01.gss
yuxudprwcs	ENSG00000171217.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000171217.5/ENSG00000171217.5.k20.pi01.gss
xxwyxrcoub	ENSG00000203910.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000203910.8/ENSG00000203910.8.k20.pi01.gss
blcxprxtcz	ENSG00000092607.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000092607.13/ENSG00000092607.13.k20.pi01.gss
cfyhgeizsb	ENSG00000140564.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000140564.11/ENSG00000140564.11.k20.pi01.gss
hyxhdymcey	ENSG00000173221.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000173221.13/ENSG00000173221.13.k20.pi01.gss
lvtchlgcsp	ENSG00000115694.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000115694.14/ENSG00000115694.14.k20.pi01.gss
zwstlcbxpm	ENSG00000149124.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000149124.10/ENSG00000149124.10.k20.pi01.gss
dvplutixze	ENSG00000130173.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000130173.13/ENSG00000130173.13.k20.pi01.gss
slrrqwzdvq	ENSG00000175768.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000175768.12/ENSG00000175768.12.k20.pi01.gss
riysvpthzk	ENSG00000154328.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000154328.15/ENSG00000154328.15.k20.pi01.gss
dyncgikuqh	ENSG00000123268.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000123268.8/ENSG00000123268.8.k20.pi01.gss
ocdlbpayoi	ENSG00000108828.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000108828.15/ENSG00000108828.15.k20.pi01.gss
xphcfxruvf	ENSG00000163285.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000163285.7/ENSG00000163285.7.k20.pi01.gss
wzijjaylgx	ENSG00000153936.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000153936.16/ENSG00000153936.16.k20.pi01.gss
xhndoupnck	ENSG00000147789.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000147789.15/ENSG00000147789.15.k20.pi01.gss
crdjjwatfz	ENSG00000185972.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000185972.5/ENSG00000185972.5.k20.pi01.gss
ehxcxcrlkp	ENSG00000055732.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000055732.12/ENSG00000055732.12.k20.pi01.gss
ayacvaytkh	ENSG00000166415.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000166415.14/ENSG00000166415.14.k20.pi01.gss
wevyqhjwzp	ENSG00000166145.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000166145.14/ENSG00000166145.14.k20.pi01.gss
uzijcbpsqn	ENSG00000132170.19	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000132170.19/ENSG00000132170.19.k20.pi01.gss
lcjhlaaloq	ENSG00000170515.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000170515.13/ENSG00000170515.13.k20.pi01.gss
zctqpazzyg	ENSG00000235194.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000235194.8/ENSG00000235194.8.k20.pi01.gss
xeojsnkmrm	ENSG00000111596.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000111596.11/ENSG00000111596.11.k20.pi01.gss
yawetiuxxx	ENSG00000137776.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000137776.16/ENSG00000137776.16.k20.pi01.gss
yqinuzaikj	ENSG00000242220.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr21/ENSG00000242220.6/ENSG00000242220.6.k20.pi01.gss
ltcorplgln	ENSG00000187556.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000187556.7/ENSG00000187556.7.k20.pi01.gss
atpjbuhbvq	ENSG00000186205.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000186205.12/ENSG00000186205.12.k20.pi01.gss
vmjrmynwlf	ENSG00000121741.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr13/ENSG00000121741.16/ENSG00000121741.16.k20.pi01.gss
dsrnxiipfj	ENSG00000138653.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000138653.9/ENSG00000138653.9.k20.pi01.gss
krggdugxgt	ENSG00000138794.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000138794.9/ENSG00000138794.9.k20.pi01.gss
ylroppfuak	ENSG00000010319.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000010319.6/ENSG00000010319.6.k20.pi01.gss
hgpcosshbg	ENSG00000165527.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000165527.6/ENSG00000165527.6.k20.pi01.gss
kgatkjozww	ENSG00000182257.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000182257.6/ENSG00000182257.6.k20.pi01.gss
sylptjqbep	ENSG00000115993.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000115993.12/ENSG00000115993.12.k20.pi01.gss
lznydklxrv	ENSG00000177710.5	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000177710.5/ENSG00000177710.5.k20.pi01.gss
lrprzikmke	ENSG00000175449.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000175449.13/ENSG00000175449.13.k20.pi01.gss
tvlxpxdhzg	ENSG00000170185.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000170185.9/ENSG00000170185.9.k20.pi01.gss
cytvqmbsqe	ENSG00000068079.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000068079.7/ENSG00000068079.7.k20.pi01.gss
sdjeblxeyh	ENSG00000198643.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000198643.6/ENSG00000198643.6.k20.pi01.gss
szoopzhugd	ENSG00000131398.13	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000131398.13/ENSG00000131398.13.k20.pi01.gss
peharukqok	ENSG00000111319.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000111319.12/ENSG00000111319.12.k20.pi01.gss
xwyvcvyosi	ENSG00000047249.17	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000047249.17/ENSG00000047249.17.k20.pi01.gss
jibhynowdl	ENSG00000221829.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000221829.9/ENSG00000221829.9.k20.pi01.gss
vqimcxjaou	ENSG00000258429.1	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr16/ENSG00000258429.1/ENSG00000258429.1.k20.pi01.gss
ercdexndea	ENSG00000137947.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000137947.11/ENSG00000137947.11.k20.pi01.gss
esrumgzmui	ENSG00000169994.18	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000169994.18/ENSG00000169994.18.k20.pi01.gss
jzadtlozim	ENSG00000137337.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000137337.14/ENSG00000137337.14.k20.pi01.gss
xozwiffhcp	ENSG00000121270.15	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr16/ENSG00000121270.15/ENSG00000121270.15.k20.pi01.gss
xqzmzmbbon	ENSG00000156136.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000156136.9/ENSG00000156136.9.k20.pi01.gss
pwdhoqwmjw	ENSG00000182809.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000182809.10/ENSG00000182809.10.k20.pi01.gss
mqjrglrnza	ENSG00000083168.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000083168.9/ENSG00000083168.9.k20.pi01.gss
qsdbfzdpvm	ENSG00000176177.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000176177.9/ENSG00000176177.9.k20.pi01.gss
nctxuzecoo	ENSG00000171385.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000171385.9/ENSG00000171385.9.k20.pi01.gss
pwtsydethx	ENSG00000183734.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000183734.4/ENSG00000183734.4.k20.pi01.gss
wjasjywhvn	ENSG00000143891.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr2/ENSG00000143891.16/ENSG00000143891.16.k20.pi01.gss
xcylbexvta	ENSG00000100413.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000100413.16/ENSG00000100413.16.k20.pi01.gss
qqzlluwqgt	ENSG00000139174.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000139174.11/ENSG00000139174.11.k20.pi01.gss
aziklckkdh	ENSG00000198589.10	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000198589.10/ENSG00000198589.10.k20.pi01.gss
yzftavglbt	ENSG00000283361.1	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr13/ENSG00000283361.1/ENSG00000283361.1.k20.pi01.gss
bhvvqoamck	ENSG00000273706.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000273706.4/ENSG00000273706.4.k20.pi01.gss
zfgcghrigi	ENSG00000205057.4	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000205057.4/ENSG00000205057.4.k20.pi01.gss
pgshyksqql	ENSG00000168781.21	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000168781.21/ENSG00000168781.21.k20.pi01.gss
hhjaywzbnf	ENSG00000089847.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000089847.12/ENSG00000089847.12.k20.pi01.gss
howsjeyqdp	ENSG00000155463.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000155463.12/ENSG00000155463.12.k20.pi01.gss
mfkrmohkoo	ENSG00000146670.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000146670.9/ENSG00000146670.9.k20.pi01.gss
ilsdxyfqwv	ENSG00000110079.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000110079.16/ENSG00000110079.16.k20.pi01.gss
xpraewulbk	ENSG00000177025.3	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000177025.3/ENSG00000177025.3.k20.pi01.gss
rxhubgccjh	ENSG00000114654.7	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000114654.7/ENSG00000114654.7.k20.pi01.gss
wskzenrcau	ENSG00000137872.16	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000137872.16/ENSG00000137872.16.k20.pi01.gss
twnwukekjv	ENSG00000113361.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000113361.12/ENSG00000113361.12.k20.pi01.gss
xhnlhgwrpg	ENSG00000167644.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000167644.11/ENSG00000167644.11.k20.pi01.gss
pgsjrdhxtf	ENSG00000188379.6	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000188379.6/ENSG00000188379.6.k20.pi01.gss
rxpuzgscyy	ENSG00000129810.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000129810.14/ENSG00000129810.14.k20.pi01.gss
gpatpylhuj	ENSG00000117118.9	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000117118.9/ENSG00000117118.9.k20.pi01.gss
cfrmjkvgea	ENSG00000122733.12	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000122733.12/ENSG00000122733.12.k20.pi01.gss
hvbcksnvmf	ENSG00000229183.8	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000229183.8/ENSG00000229183.8.k20.pi01.gss
uabkhxbwiz	ENSG00000141449.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr18/ENSG00000141449.14/ENSG00000141449.14.k20.pi01.gss
btliqhzbxa	ENSG00000274290.2	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000274290.2/ENSG00000274290.2.k20.pi01.gss
bkbaozyumq	ENSG00000175467.14	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000175467.14/ENSG00000175467.14.k20.pi01.gss
bcotdvnmwf	ENSG00000183032.11	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000183032.11/ENSG00000183032.11.k20.pi01.gss
