sim_id	seed	gene	sim_method	source_model_path	sim_path	log_path
kbthphgwzj	2007792682	ENSG00000132361.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000132361.16/ENSG00000132361.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kbthphgwzj/kbthphgwzj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kbthphgwzj/kbthphgwzj.log
jxocvnjgnh	3060717213	ENSG00000247595.4	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000247595.4/ENSG00000247595.4.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/jxocvnjgnh/jxocvnjgnh.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/jxocvnjgnh/jxocvnjgnh.log
edytfccgcd	1172258685	ENSG00000100351.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000100351.16/ENSG00000100351.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/edytfccgcd/edytfccgcd.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/edytfccgcd/edytfccgcd.log
yuxltxsubz	1491641985	ENSG00000145191.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000145191.12/ENSG00000145191.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/yuxltxsubz/yuxltxsubz.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/yuxltxsubz/yuxltxsubz.log
kqtpxdkrhb	640046501	ENSG00000064999.13	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000064999.13/ENSG00000064999.13.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kqtpxdkrhb/kqtpxdkrhb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kqtpxdkrhb/kqtpxdkrhb.log
rcfepcmuky	3601493301	ENSG00000136758.18	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000136758.18/ENSG00000136758.18.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rcfepcmuky/rcfepcmuky.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rcfepcmuky/rcfepcmuky.log
fyqwijdmyy	668649152	ENSG00000142227.10	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000142227.10/ENSG00000142227.10.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fyqwijdmyy/fyqwijdmyy.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fyqwijdmyy/fyqwijdmyy.log
fzpmhkkywy	650473072	ENSG00000185122.10	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000185122.10/ENSG00000185122.10.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fzpmhkkywy/fzpmhkkywy.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fzpmhkkywy/fzpmhkkywy.log
ircbdajxax	2572269090	ENSG00000104332.11	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000104332.11/ENSG00000104332.11.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ircbdajxax/ircbdajxax.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ircbdajxax/ircbdajxax.log
kiocxjgvtp	703785158	ENSG00000106635.7	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr7/ENSG00000106635.7/ENSG00000106635.7.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kiocxjgvtp/kiocxjgvtp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/kiocxjgvtp/kiocxjgvtp.log
iyupwhjegt	2781944585	ENSG00000166828.2	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr16/ENSG00000166828.2/ENSG00000166828.2.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/iyupwhjegt/iyupwhjegt.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/iyupwhjegt/iyupwhjegt.log
xbsegisfxc	2478205358	ENSG00000166145.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000166145.14/ENSG00000166145.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/xbsegisfxc/xbsegisfxc.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/xbsegisfxc/xbsegisfxc.log
iwyfxtfuwi	2562857877	ENSG00000128311.13	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000128311.13/ENSG00000128311.13.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/iwyfxtfuwi/iwyfxtfuwi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/iwyfxtfuwi/iwyfxtfuwi.log
fqlqmhasnr	1048356725	ENSG00000267710.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000267710.6/ENSG00000267710.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fqlqmhasnr/fqlqmhasnr.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fqlqmhasnr/fqlqmhasnr.log
pgsymoysmo	2400448230	ENSG00000118503.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000118503.14/ENSG00000118503.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/pgsymoysmo/pgsymoysmo.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/pgsymoysmo/pgsymoysmo.log
rujmhzrhap	1089175247	ENSG00000171385.9	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000171385.9/ENSG00000171385.9.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rujmhzrhap/rujmhzrhap.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rujmhzrhap/rujmhzrhap.log
buwfloyour	646122810	ENSG00000072840.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000072840.12/ENSG00000072840.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/buwfloyour/buwfloyour.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/buwfloyour/buwfloyour.log
olijwekcjw	1868270393	ENSG00000138764.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr4/ENSG00000138764.14/ENSG00000138764.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/olijwekcjw/olijwekcjw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/olijwekcjw/olijwekcjw.log
xpzmasdvci	3308618569	ENSG00000188032.9	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000188032.9/ENSG00000188032.9.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/xpzmasdvci/xpzmasdvci.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/xpzmasdvci/xpzmasdvci.log
dharhumiyi	2767134541	ENSG00000165752.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000165752.16/ENSG00000165752.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/dharhumiyi/dharhumiyi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/dharhumiyi/dharhumiyi.log
spbrhwwjkr	2312341922	ENSG00000159335.15	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000159335.15/ENSG00000159335.15.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/spbrhwwjkr/spbrhwwjkr.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/spbrhwwjkr/spbrhwwjkr.log
oauslslvcr	3963306110	ENSG00000144962.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000144962.6/ENSG00000144962.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/oauslslvcr/oauslslvcr.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/oauslslvcr/oauslslvcr.log
butdvpylgd	2891481602	ENSG00000187559.5	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000187559.5/ENSG00000187559.5.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/butdvpylgd/butdvpylgd.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/butdvpylgd/butdvpylgd.log
cmmqkkxesx	3394250614	ENSG00000149488.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr20/ENSG00000149488.12/ENSG00000149488.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/cmmqkkxesx/cmmqkkxesx.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/cmmqkkxesx/cmmqkkxesx.log
uaipznyilf	2697603545	ENSG00000177025.3	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000177025.3/ENSG00000177025.3.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/uaipznyilf/uaipznyilf.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/uaipznyilf/uaipznyilf.log
heqinylwmm	2711029894	ENSG00000166428.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr14/ENSG00000166428.12/ENSG00000166428.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/heqinylwmm/heqinylwmm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/heqinylwmm/heqinylwmm.log
hngfoeayor	3446071982	ENSG00000169740.13	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr10/ENSG00000169740.13/ENSG00000169740.13.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hngfoeayor/hngfoeayor.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hngfoeayor/hngfoeayor.log
obaepvwwzw	1930411729	ENSG00000152669.8	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000152669.8/ENSG00000152669.8.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/obaepvwwzw/obaepvwwzw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/obaepvwwzw/obaepvwwzw.log
ehefuxkavk	1145160428	ENSG00000148331.11	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000148331.11/ENSG00000148331.11.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ehefuxkavk/ehefuxkavk.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ehefuxkavk/ehefuxkavk.log
fibavmgywk	2508186374	ENSG00000165643.10	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000165643.10/ENSG00000165643.10.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fibavmgywk/fibavmgywk.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/fibavmgywk/fibavmgywk.log
rquihodags	1600957235	ENSG00000105613.9	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000105613.9/ENSG00000105613.9.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rquihodags/rquihodags.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rquihodags/rquihodags.log
ymsupuuoxx	3647361241	ENSG00000069206.15	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000069206.15/ENSG00000069206.15.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ymsupuuoxx/ymsupuuoxx.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ymsupuuoxx/ymsupuuoxx.log
hgbuhgwjbw	2936559586	ENSG00000087191.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000087191.12/ENSG00000087191.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hgbuhgwjbw/hgbuhgwjbw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hgbuhgwjbw/hgbuhgwjbw.log
hmdncjghzv	2815919795	ENSG00000145779.7	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000145779.7/ENSG00000145779.7.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hmdncjghzv/hmdncjghzv.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hmdncjghzv/hmdncjghzv.log
assqmlajls	3581260480	ENSG00000068745.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000068745.14/ENSG00000068745.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/assqmlajls/assqmlajls.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/assqmlajls/assqmlajls.log
phxxwuuumu	3142211523	ENSG00000185924.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000185924.6/ENSG00000185924.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/phxxwuuumu/phxxwuuumu.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/phxxwuuumu/phxxwuuumu.log
hsbcjtquil	1267676450	ENSG00000236782.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000236782.6/ENSG00000236782.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hsbcjtquil/hsbcjtquil.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hsbcjtquil/hsbcjtquil.log
rsztanfsit	4069718772	ENSG00000146221.9	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr6/ENSG00000146221.9/ENSG00000146221.9.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rsztanfsit/rsztanfsit.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/rsztanfsit/rsztanfsit.log
ccmeruavqf	996559304	ENSG00000153936.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000153936.16/ENSG00000153936.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ccmeruavqf/ccmeruavqf.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ccmeruavqf/ccmeruavqf.log
hcbciikdno	1556810549	ENSG00000110900.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000110900.14/ENSG00000110900.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hcbciikdno/hcbciikdno.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hcbciikdno/hcbciikdno.log
lvpsxuaotk	1258982491	ENSG00000163528.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr3/ENSG00000163528.12/ENSG00000163528.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/lvpsxuaotk/lvpsxuaotk.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/lvpsxuaotk/lvpsxuaotk.log
ulmvpgggbc	2669141303	ENSG00000159335.15	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000159335.15/ENSG00000159335.15.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ulmvpgggbc/ulmvpgggbc.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ulmvpgggbc/ulmvpgggbc.log
lswwaposkl	3047436867	ENSG00000137558.7	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr8/ENSG00000137558.7/ENSG00000137558.7.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/lswwaposkl/lswwaposkl.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/lswwaposkl/lswwaposkl.log
qfhfddydtk	3426287533	ENSG00000197629.5	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000197629.5/ENSG00000197629.5.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/qfhfddydtk/qfhfddydtk.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/qfhfddydtk/qfhfddydtk.log
zzlyzhzytz	1403591692	ENSG00000125734.15	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000125734.15/ENSG00000125734.15.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/zzlyzhzytz/zzlyzhzytz.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/zzlyzhzytz/zzlyzhzytz.log
hakofagybs	3911839406	ENSG00000184164.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000184164.14/ENSG00000184164.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hakofagybs/hakofagybs.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/hakofagybs/hakofagybs.log
zghlcuxhgm	266481210	ENSG00000261221.3	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr19/ENSG00000261221.3/ENSG00000261221.3.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/zghlcuxhgm/zghlcuxhgm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/zghlcuxhgm/zghlcuxhgm.log
ksjtfhrqvm	2127410916	ENSG00000166926.8	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr11/ENSG00000166926.8/ENSG00000166926.8.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ksjtfhrqvm/ksjtfhrqvm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ksjtfhrqvm/ksjtfhrqvm.log
baovbvgtxp	3856218790	ENSG00000255408.3	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000255408.3/ENSG00000255408.3.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/baovbvgtxp/baovbvgtxp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/baovbvgtxp/baovbvgtxp.log
jhcyrhfhah	3203142512	ENSG00000236782.6	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr1/ENSG00000236782.6/ENSG00000236782.6.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/jhcyrhfhah/jhcyrhfhah.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/jhcyrhfhah/jhcyrhfhah.log
egnnxsbxal	2035120498	ENSG00000185306.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr12/ENSG00000185306.12/ENSG00000185306.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/egnnxsbxal/egnnxsbxal.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/egnnxsbxal/egnnxsbxal.log
uoacprmlan	1997781224	ENSG00000167081.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000167081.16/ENSG00000167081.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/uoacprmlan/uoacprmlan.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/uoacprmlan/uoacprmlan.log
aknfdntqfi	3061685254	ENSG00000224383.7	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000224383.7/ENSG00000224383.7.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/aknfdntqfi/aknfdntqfi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/aknfdntqfi/aknfdntqfi.log
ithuvgmizv	3325984339	ENSG00000277791.4	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr17/ENSG00000277791.4/ENSG00000277791.4.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ithuvgmizv/ithuvgmizv.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ithuvgmizv/ithuvgmizv.log
ulifmaystm	1267900405	ENSG00000137766.16	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr15/ENSG00000137766.16/ENSG00000137766.16.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ulifmaystm/ulifmaystm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/ulifmaystm/ulifmaystm.log
gjkywhtrpj	2327283078	ENSG00000136883.13	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr9/ENSG00000136883.13/ENSG00000136883.13.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/gjkywhtrpj/gjkywhtrpj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/gjkywhtrpj/gjkywhtrpj.log
chozwmnppf	3411391621	ENSG00000172346.14	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr22/ENSG00000172346.14/ENSG00000172346.14.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/chozwmnppf/chozwmnppf.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/chozwmnppf/chozwmnppf.log
imoojsxhmq	2134283959	ENSG00000186468.12	sim_from_model	/work-zfs/abattle4/karl/cosie_analysis/output/GTEx/chr5/ENSG00000186468.12/ENSG00000186468.12.k20.pi01.gss	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/imoojsxhmq/imoojsxhmq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/from_gss/imoojsxhmq/imoojsxhmq.log
